design_id,ipsae_min,iptm,plddt,pae,interface_area,ca_rmsd,hotspot_contact_rate,shape_complementarity,binder_length
egfr_0150,0.642,0.461,0.512,23.0,531.0,4.49,0.054,0.351,78
egfr_0364,0.547,0.441,0.894,20.7,1082.0,1.02,0.259,0.526,78
egfr_0221,0.433,0.555,0.679,18.3,733.0,2.5,0.184,0.324,92
egfr_0418,0.254,0.798,0.888,7.0,1089.0,0.91,0.062,0.655,90
egfr_0229,0.483,0.476,0.727,20.0,709.0,2.57,0.141,0.426,93
egfr_0181,0.56,0.396,0.562,22.6,649.0,3.75,0.12,0.3,77
egfr_0283,0.464,0.534,0.763,16.8,776.0,2.61,0.144,0.324,92
egfr_0270,0.429,0.601,0.762,19.7,644.0,2.85,0.136,0.359,87
egfr_0226,0.467,0.516,0.732,18.8,898.0,2.62,0.219,0.459,89
egfr_0479,0.287,0.614,0.789,10.8,872.0,1.38,0.181,0.488,102
egfr_0024,0.307,0.777,0.903,11.5,1173.0,1.5,0.346,0.668,91
egfr_0235,0.44,0.487,0.67,18.0,625.0,3.45,0.267,0.411,84
egfr_0085,0.405,0.709,0.8,14.0,997.0,1.81,0.18,0.581,110
egfr_0285,0.518,0.671,0.736,20.0,865.0,2.69,0.224,0.346,85
egfr_0109,0.433,0.821,0.871,10.5,1209.0,1.6,0.246,0.505,106
egfr_0459,0.389,0.628,0.811,11.0,880.0,1.47,0.215,0.473,102
egfr_0242,0.52,0.525,0.754,15.4,790.0,2.62,0.148,0.393,91
egfr_0155,0.591,0.334,0.478,23.0,655.0,3.97,0.02,0.218,75
egfr_0432,0.304,0.764,0.867,9.3,1099.0,0.91,0.127,0.582,88
egfr_0100,0.33,0.74,0.779,12.5,966.0,1.52,0.319,0.598,109
egfr_0117,0.358,0.687,0.854,10.8,793.0,1.42,0.239,0.636,109
egfr_0157,0.523,0.439,0.529,22.2,776.0,3.51,0.186,0.203,81
egfr_0088,0.352,0.686,0.743,11.6,807.0,1.88,0.327,0.643,109
egfr_0139,0.625,0.459,0.551,22.0,594.0,3.25,0.115,0.246,77
egfr_0014,0.096,0.899,0.886,3.8,1283.0,0.79,0.359,0.791,78
egfr_0424,0.213,0.749,0.897,12.1,1024.0,1.16,0.155,0.571,85
egfr_0072,0.345,0.597,0.82,11.8,944.0,1.46,0.159,0.505,109
egfr_0003,0.043,0.852,1,6.6,1321.0,0.54,0.45,0.874,75
egfr_0360,0.602,0.375,0.876,21.3,1044.0,0.32,0.288,0.494,77
egfr_0119,0.295,0.789,0.824,12.8,945.0,1.86,0.208,0.562,101
