binder_id,target_id,binder,source,A_length,af3_ipSAE_min,af3_ipSAE_max,af3_ipSAE_avg,af3_LIS,af3_iptm_avg,af3_iptm_model_0,af3_ptm_avg,af3_ipae,af3_min_pae_contact,af3_pDockQ_min,af3_pDockQ2_max,RMSD_chA_aft_chB_align_input_af3,RMSD_complex_input_af3,af3_rosetta_interface_dG,af3_rosetta_interface_dG_SASA_ratio,af3_rosetta_interface_dSASA,af3_rosetta_interface_sc,af3_rosetta_interface_packstat,af3_rosetta_surface_hydrophobicity,af3_rosetta_interface_interface_hbonds,input_rosetta_interface_sc,input_rosetta_interface_dG,input_rosetta_interface_dG_SASA_ratio,input_rosetta_interface_dSASA,input_rosetta_interface_packstat,af3_pymol_delta_SASA,af3_pymol_percent_nonpolar,af3_pymol_hbonds,af3_pymol_num_interface_residues
2bnr_04_4000_145_0_11,pMHC_NY1,0,pMHC screening NY1,104.0,0.614,0.816,0.408,0.733,0.95,0.95,0.95,3.686,0.9,0.44,0.93,1.29,1.43,-67.07,-2.58,2599.02,0.64,0.68,0.35,10.0,0.59,-58.47,-2.3,2544.23,0.61,1430.307,44.118,9.0,68.0
2bnr_05_4200_137_0_3,pMHC_NY1,0,pMHC screening NY1,123.0,0.503,0.771,0.341,0.649,0.94,0.94,0.94,4.602,1.1,0.399,0.876,1.59,2.7,-69.84,-2.43,2870.57,0.57,0.66,0.31,11.0,0.6,-73.89,-2.65,2788.16,0.66,1480.969,46.377,6.0,69.0
2bnr_16_22_3_7,pMHC_NY1,0,pMHC screening NY1,144.0,0.45,0.702,0.286,0.582,0.91,0.91,0.93,5.846,1.6,0.319,0.636,1.12,1.35,-63.66,-2.34,2725.97,0.6,0.61,0.32,9.0,0.59,-71.74,-2.59,2765.51,0.55,1488.207,52.941,4.0,68.0
2bnr_27_7_3_9_temp001_dldesign_177_af2pred,pMHC_NY1,1,pMHC screening NY2,145.0,0.657,0.872,0.444,0.721,0.95,0.95,0.95,3.654,0.8,0.456,0.941,1.07,1.45,-68.95,-2.45,2810.75,0.65,0.72,0.4,7.0,0.66,-73.29,-2.54,2889.59,0.64,1445.543,44.444,10.0,72.0
2bnr_27_7_3_9_temp001_dldesign_284_af2pred,pMHC_NY1,0,pMHC screening NY2,145.0,0.63,0.843,0.413,0.696,0.94,0.94,0.95,4.188,0.9,0.451,0.929,2.0,1.78,-68.83,-2.49,2769.81,0.63,0.69,0.37,12.0,0.6,-71.84,-2.42,2967.88,0.69,1540.016,43.243,10.0,74.0
2bnr_27_7_3_9_temp01_dldesign_172_af2pred,pMHC_NY1,1,pMHC screening NY2,145.0,0.66,0.877,0.445,0.72,0.95,0.95,0.95,3.683,0.8,0.457,0.944,1.18,1.61,-73.23,-2.51,2919.97,0.67,0.74,0.43,10.0,0.69,-74.99,-2.55,2939.93,0.7,1475.125,43.478,10.0,69.0
2bnr_27_7_3_9_temp01_dldesign_566_af2pred,pMHC_NY1,0,pMHC screening NY2,145.0,0.586,0.82,0.382,0.678,0.93,0.94,0.94,4.469,1.0,0.424,0.906,1.1,1.41,-65.06,-2.26,2876.77,0.58,0.68,0.19,11.0,0.64,-67.01,-2.35,2852.22,0.66,1505.709,41.667,8.0,72.0
2bnr_27_7_3_9_temp01_dldesign_638_af2pred,pMHC_NY1,1,pMHC screening NY2,145.0,0.62,0.856,0.414,0.708,0.95,0.95,0.95,3.949,0.9,0.432,0.933,1.18,1.56,-71.89,-2.54,2834.84,0.69,0.64,0.27,11.0,0.66,-72.79,-2.52,2883.61,0.66,1424.654,42.647,9.0,68.0
AKAP9_binder_10_dldesign_0_af2pred,pMHC_SILSY1,0,pMHC screening SILSY1,124.0,0.628,0.844,0.405,0.704,0.94,0.95,0.95,3.808,0.9,0.403,0.939,1.74,2.79,-62.14,-2.2,2826.66,0.63,0.67,0.36,17.0,0.63,-72.04,-2.41,2988.23,0.67,1509.955,36.486,11.0,74.0
AKAP9_binder_17,pMHC_SILSY1,0,pMHC screening SILSY1,124.0,0.496,0.693,0.311,0.599,0.92,0.92,0.93,5.12,1.3,0.372,0.835,2.36,3.14,-67.16,-2.33,2881.34,0.6,0.67,0.31,6.0,0.63,-76.71,-2.65,2891.55,0.69,1528.053,44.444,6.0,72.0
